date,state,city,place_type,confirmed,deaths,is_last,estimated_population_2019,city_ibge_code,confirmed_per_100k_inhabitants,death_rate
2020-06-09,PR,Abatiá,city,8,0,True,7457,4100103,107.28175,0.0
2020-06-09,PR,Agudos do Sul,city,14,0,True,9371,4100301,149.39708,0.0
2020-06-09,PR,Almirante Tamandaré,city,36,0,True,118623,4100400,30.34825,0.0
2020-06-09,PR,Altamira do Paraná,city,1,0,True,1942,4100459,51.49331,0.0
2020-06-09,PR,Alto Paraíso,city,1,0,True,2741,4128625,36.48304,0.0
2020-06-09,PR,Alto Paraná,city,9,0,True,14770,4100608,60.93433,0.0
2020-06-09,PR,Alvorada do Sul,city,7,1,True,11406,4100806,61.37121,0.1429
2020-06-09,PR,Amaporã,city,18,0,True,6257,4100905,287.6778,0.0
2020-06-09,PR,Ampére,city,6,1,True,19152,4101002,31.32832,0.1667
2020-06-09,PR,Anahy,city,7,0,True,2801,4101051,249.91075,0.0
2020-06-09,PR,Andirá,city,14,0,True,20031,4101101,69.89167,0.0
2020-06-09,PR,Ângulo,city,1,0,True,2928,4101150,34.15301,0.0
2020-06-09,PR,Antonina,city,8,0,True,18980,4101200,42.14963,0.0
2020-06-09,PR,Antônio Olinto,city,1,0,True,7434,4101309,13.45171,0.0
2020-06-09,PR,Apucarana,city,49,3,True,134996,4101408,36.29737,0.0612
2020-06-09,PR,Arapongas,city,29,2,True,123027,4101507,23.57206,0.069
2020-06-09,PR,Arapoti,city,5,0,True,28115,4101606,17.7841,0.0
2020-06-09,PR,Araruna,city,19,1,True,13970,4101705,136.00573,0.0526
2020-06-09,PR,Araucária,city,113,1,True,143843,4101804,78.55787,0.0088
2020-06-09,PR,Assaí,city,6,0,True,15119,4101903,39.68516,0.0
2020-06-09,PR,Assis Chateaubriand,city,46,2,True,33362,4102000,137.88142,0.0435
2020-06-09,PR,Balsa Nova,city,5,0,True,12941,4102307,38.63689,0.0
2020-06-09,PR,Bandeirantes,city,15,1,True,31367,4102406,47.82096,0.0667
2020-06-09,PR,Barbosa Ferraz,city,1,0,True,11568,4102505,8.64454,0.0
2020-06-09,PR,Barracão,city,5,0,True,10275,4102604,48.6618,0.0
2020-06-09,PR,Bela Vista do Paraíso,city,5,1,True,15397,4102802,32.47386,0.2
2020-06-09,PR,Bituruna,city,4,0,True,16389,4102901,24.40661,0.0
2020-06-09,PR,Boa Vista da Aparecida,city,21,0,True,7591,4103057,276.64339,0.0
2020-06-09,PR,Bocaiúva do Sul,city,2,0,True,12944,4103107,15.45117,0.0
2020-06-09,PR,Bom Jesus do Sul,city,1,0,True,3541,4103156,28.24061,0.0
2020-06-09,PR,Braganey,city,14,1,True,5427,4103354,257.96941,0.0714
2020-06-09,PR,Cafeara,city,1,0,True,2934,4103404,34.08316,0.0
2020-06-09,PR,Cafelândia,city,4,0,True,18120,4103453,22.07506,0.0
2020-06-09,PR,Califórnia,city,1,0,True,8570,4103503,11.66861,0.0
2020-06-09,PR,Cambará,city,3,0,True,25360,4103602,11.82965,0.0
2020-06-09,PR,Cambé,city,65,2,True,106533,4103701,61.01396,0.0308
2020-06-09,PR,Campina da Lagoa,city,4,1,True,14202,4103909,28.16505,0.25
2020-06-09,PR,Campina Grande do Sul,city,63,4,True,43288,4104006,145.53687,0.0635
2020-06-09,PR,Campo Bonito,city,16,0,True,3833,4104055,417.4276,0.0
2020-06-09,PR,Campo do Tenente,city,2,0,True,7971,4104105,25.09095,0.0
2020-06-09,PR,Campo Largo,city,62,2,True,132002,4104204,46.96899,0.0323
2020-06-09,PR,Campo Magro,city,6,1,True,29318,4104253,20.46524,0.1667
2020-06-09,PR,Campo Mourão,city,65,4,True,94859,4104303,68.52275,0.0615
2020-06-09,PR,Candói,city,3,0,True,15979,4104428,18.77464,0.0
2020-06-09,PR,Cantagalo,city,5,1,True,13317,4104451,37.54599,0.2
2020-06-09,PR,Capanema,city,5,0,True,19124,4104501,26.14516,0.0
2020-06-09,PR,Capitão Leônidas Marques,city,3,0,True,15780,4104600,19.01141,0.0
2020-06-09,PR,Carambeí,city,10,1,True,23415,4104659,42.70767,0.1
2020-06-09,PR,Carlópolis,city,9,0,True,14320,4104709,62.84916,0.0
2020-06-09,PR,Cascavel,city,822,11,True,328454,4104808,250.26335,0.0134
2020-06-09,PR,Castro,city,5,0,True,71484,4104907,6.99457,0.0
2020-06-09,PR,Catanduvas,city,5,0,True,10189,4105003,49.07253,0.0
2020-06-09,PR,Centenário do Sul,city,7,0,True,10827,4105102,64.65318,0.0
2020-06-09,PR,Céu Azul,city,6,0,True,11765,4105300,50.99873,0.0
2020-06-09,PR,Chopinzinho,city,7,0,True,19254,4105409,36.35608,0.0
2020-06-09,PR,Cianorte,city,146,1,True,82620,4105508,176.71266,0.0068
2020-06-09,PR,Cidade Gaúcha,city,2,1,True,12652,4105607,15.80778,0.5
2020-06-09,PR,Clevelândia,city,12,0,True,16559,4105706,72.46814,0.0
2020-06-09,PR,Colombo,city,92,0,True,243726,4105805,37.74731,0.0
2020-06-09,PR,Colorado,city,8,0,True,24012,4105904,33.31667,0.0
2020-06-09,PR,Congonhinhas,city,4,0,True,8818,4106001,45.36176,0.0
2020-06-09,PR,Conselheiro Mairinck,city,8,0,True,3860,4106100,207.25389,0.0
2020-06-09,PR,Contenda,city,3,1,True,18584,4106209,16.14292,0.3333
2020-06-09,PR,Corbélia,city,12,0,True,17071,4106308,70.29465,0.0
2020-06-09,PR,Cornélio Procópio,city,159,2,True,47845,4106407,332.32313,0.0126
2020-06-09,PR,Coronel Domingos Soares,city,89,0,True,7497,4106456,1187.14152,0.0
2020-06-09,PR,Coronel Vivida,city,2,0,True,20734,4106506,9.64599,0.0
2020-06-09,PR,Cruzeiro do Iguaçu,city,6,0,True,4252,4106571,141.11007,0.0
2020-06-09,PR,Cruzeiro do Oeste,city,11,0,True,20932,4106605,52.55112,0.0
2020-06-09,PR,Cruzeiro do Sul,city,6,0,True,4469,4106704,134.25822,0.0
2020-06-09,PR,Cruzmaltina,city,0,0,True,2950,4106852,,0.0
2020-06-09,PR,Curitiba,city,1357,62,True,1933105,4106902,70.19795,0.0457
2020-06-09,PR,Curiúva,city,3,0,True,15101,4107009,19.86623,0.0
2020-06-09,PR,Diamante do Norte,city,1,0,True,5087,4107108,19.65795,0.0
2020-06-09,PR,Diamante do Sul,city,10,0,True,3439,4107124,290.7822,0.0
2020-06-09,PR,Dois Vizinhos,city,1,0,True,40641,4107207,2.46057,0.0
2020-06-09,PR,Douradina,city,4,0,True,8747,4107256,45.72996,0.0
2020-06-09,PR,Doutor Camargo,city,2,0,True,5979,4107306,33.45041,0.0
2020-06-09,PR,Enéas Marques,city,1,0,True,5961,4107405,16.77571,0.0
2020-06-09,PR,Faxinal,city,3,0,True,17251,4107603,17.3903,0.0
2020-06-09,PR,Fazenda Rio Grande,city,92,6,True,100209,4107652,91.80812,0.0652
2020-06-09,PR,Fernandes Pinheiro,city,1,1,True,5646,4107736,17.71165,1.0
2020-06-09,PR,Figueira,city,2,0,True,7770,4107751,25.74003,0.0
2020-06-09,PR,Floresta,city,2,0,True,6774,4107900,29.52465,0.0
2020-06-09,PR,Florestópolis,city,4,0,True,10548,4108007,37.92188,0.0
2020-06-09,PR,Foz do Iguaçu,city,133,3,True,258532,4108304,51.44431,0.0226
2020-06-09,PR,Foz do Jordão,city,18,0,True,4650,4108452,387.09677,0.0
2020-06-09,PR,Francisco Alves,city,1,0,True,6046,4108320,16.53986,0.0
2020-06-09,PR,Francisco Beltrão,city,40,2,True,91093,4108403,43.91117,0.05
2020-06-09,PR,General Carneiro,city,3,0,True,13710,4108502,21.88184,0.0
2020-06-09,PR,Goioerê,city,8,0,True,28884,4108601,27.69699,0.0
2020-06-09,PR,Goioxim,city,1,0,True,7111,4108650,14.06272,0.0
2020-06-09,PR,Guaíra,city,15,3,True,33119,4108809,45.29122,0.2
2020-06-09,PR,Guairaçá,city,11,1,True,6581,4108908,167.14785,0.0909
2020-06-09,PR,Guapirama,city,7,1,True,3802,4109005,184.11362,0.1429
2020-06-09,PR,Guaporema,city,8,1,True,2243,4109104,356.66518,0.125
2020-06-09,PR,Guaraci,city,5,0,True,5502,4109203,90.87605,0.0
2020-06-09,PR,Guaraniaçu,city,29,0,True,12472,4109302,232.52085,0.0
2020-06-09,PR,Guarapuava,city,44,1,True,181504,4109401,24.24189,0.0227
2020-06-09,PR,Guaraqueçaba,city,1,1,True,7636,4109500,13.09586,1.0
2020-06-09,PR,Guaratuba,city,28,1,True,37067,4109609,75.53889,0.0357
2020-06-09,PR,Ibaiti,city,5,0,True,31364,4109708,15.94184,0.0
2020-06-09,PR,Ibema,city,22,0,True,6352,4109757,346.34761,0.0
2020-06-09,PR,Ibiporã,city,24,1,True,54558,4109807,43.98988,0.0417
2020-06-09,PR,Icaraíma,city,1,0,True,7904,4109906,12.65182,0.0
2020-06-09,PR,Iguaraçu,city,1,0,True,4404,4110003,22.70663,0.0
2020-06-09,PR,Iguatu,city,2,0,True,2256,4110052,88.65248,0.0
2020-06-09,PR,Imbaú,city,11,0,True,13111,4110078,83.89902,0.0
2020-06-09,PR,Imbituva,city,34,0,True,32564,4110102,104.40978,0.0
2020-06-09,PR,Importados/Indefinidos,city,96,7,True,,,,0.0729
2020-06-09,PR,Inácio Martins,city,2,0,True,11125,4110201,17.97753,0.0
2020-06-09,PR,Indianópolis,city,12,0,True,4457,4110409,269.2394,0.0
2020-06-09,PR,Iracema do Oeste,city,2,0,True,2288,4110656,87.41259,0.0
2020-06-09,PR,Irati,city,7,0,True,60727,4110706,11.527,0.0
2020-06-09,PR,Iretama,city,4,1,True,10169,4110805,39.33523,0.25
2020-06-09,PR,Itaguajé,city,2,0,True,4466,4110904,44.7828,0.0
2020-06-09,PR,Itaipulândia,city,2,0,True,11176,4110953,17.89549,0.0
2020-06-09,PR,Itambaracá,city,4,0,True,6582,4111001,60.7718,0.0
2020-06-09,PR,Itapejara d'Oeste,city,3,0,True,11964,4111209,25.07523,0.0
2020-06-09,PR,Itaperuçu,city,6,0,True,28634,4111258,20.95411,0.0
2020-06-09,PR,Itaúna do Sul,city,2,0,True,2865,4111308,69.80803,0.0
2020-06-09,PR,Ivaí,city,2,0,True,13879,4111407,14.41026,0.0
2020-06-09,PR,Ivaiporã,city,11,2,True,31984,4111506,34.3922,0.1818
2020-06-09,PR,Jacarezinho,city,16,0,True,39378,4111803,40.63182,0.0
2020-06-09,PR,Jaguapitã,city,5,0,True,13620,4111902,36.71072,0.0
2020-06-09,PR,Jaguariaíva,city,22,1,True,34857,4112009,63.11501,0.0455
2020-06-09,PR,Jandaia do Sul,city,1,0,True,21176,4112108,4.72233,0.0
2020-06-09,PR,Janiópolis,city,1,0,True,5245,4112207,19.06578,0.0
2020-06-09,PR,Japira,city,1,0,True,4994,4112306,20.02403,0.0
2020-06-09,PR,Japurá,city,11,0,True,9425,4112405,116.71088,0.0
2020-06-09,PR,Jardim Alegre,city,3,0,True,11328,4112504,26.48305,0.0
2020-06-09,PR,Jataizinho,city,9,1,True,12588,4112702,71.49666,0.1111
2020-06-09,PR,Jesuítas,city,7,1,True,8412,4112751,83.21446,0.1429
2020-06-09,PR,Joaquim Távora,city,5,0,True,11908,4112801,41.98858,0.0
2020-06-09,PR,Jundiaí do Sul,city,1,0,True,3292,4112900,30.37667,0.0
2020-06-09,PR,Juranda,city,3,0,True,7340,4112959,40.87193,0.0
2020-06-09,PR,Jussara,city,5,1,True,7013,4113007,71.29616,0.2
2020-06-09,PR,Kaloré,city,1,0,True,4100,4113106,24.39024,0.0
2020-06-09,PR,Lapa,city,6,0,True,48163,4113205,12.4577,0.0
2020-06-09,PR,Laranjeiras do Sul,city,16,0,True,32073,4113304,49.8862,0.0
2020-06-09,PR,Leópolis,city,6,0,True,3954,4113403,151.74507,0.0
2020-06-09,PR,Lindoeste,city,6,0,True,4676,4113452,128.3148,0.0
2020-06-09,PR,Loanda,city,2,0,True,23086,4113502,8.66326,0.0
2020-06-09,PR,Lobato,city,1,0,True,4787,4113601,20.88991,0.0
2020-06-09,PR,Londrina,city,674,33,True,569733,4113700,118.30103,0.049
2020-06-09,PR,Luiziana,city,1,1,True,7262,4113734,13.77031,1.0
2020-06-09,PR,Lupionópolis,city,0,0,True,4920,4113809,,0.0
2020-06-09,PR,Mallet,city,2,0,True,13630,4113908,14.67351,0.0
2020-06-09,PR,Mamborê,city,5,1,True,13132,4114005,38.07493,0.2
2020-06-09,PR,Mandaguaçu,city,7,0,True,22819,4114104,30.67619,0.0
2020-06-09,PR,Mandaguari,city,4,1,True,34400,4114203,11.62791,0.25
2020-06-09,PR,Mandirituba,city,38,0,True,26869,4114302,141.42692,0.0
2020-06-09,PR,Manfrinópolis,city,4,0,True,2571,4114351,155.58149,0.0
2020-06-09,PR,Mangueirinha,city,5,0,True,16714,4114401,29.91504,0.0
2020-06-09,PR,Manoel Ribas,city,7,1,True,13502,4114500,51.84417,0.1429
2020-06-09,PR,Marechal Cândido Rondon,city,9,0,True,52944,4114609,16.99909,0.0
2020-06-09,PR,Maria Helena,city,13,0,True,5677,4114708,228.99419,0.0
2020-06-09,PR,Marialva,city,3,0,True,35496,4114807,8.45166,0.0
2020-06-09,PR,Marilândia do Sul,city,1,0,True,8836,4114906,11.31734,0.0
2020-06-09,PR,Marilena,city,10,0,True,7076,4115002,141.32278,0.0
2020-06-09,PR,Mariluz,city,8,0,True,10345,4115101,77.33204,0.0
2020-06-09,PR,Maringá,city,266,11,True,423666,4115200,62.78531,0.0414
2020-06-09,PR,Mariópolis,city,5,0,True,6610,4115309,75.64297,0.0
2020-06-09,PR,Maripá,city,1,0,True,5603,4115358,17.84758,0.0
2020-06-09,PR,Marmeleiro,city,2,0,True,14367,4115408,13.92079,0.0
2020-06-09,PR,Marumbi,city,2,0,True,4679,4115507,42.74418,0.0
2020-06-09,PR,Matelândia,city,1,0,True,17943,4115606,5.5732,0.0
2020-06-09,PR,Matinhos,city,12,0,True,34720,4115705,34.56221,0.0
2020-06-09,PR,Medianeira,city,21,0,True,46198,4115804,45.45651,0.0
2020-06-09,PR,Mirador,city,17,1,True,2213,4115903,768.18798,0.0588
2020-06-09,PR,Missal,city,7,0,True,10702,4116059,65.40833,0.0
2020-06-09,PR,Moreira Sales,city,7,0,True,12121,4116109,57.75101,0.0
2020-06-09,PR,Morretes,city,23,0,True,16406,4116208,140.19261,0.0
2020-06-09,PR,Nova Aliança do Ivaí,city,1,0,True,1543,4116505,64.80881,0.0
2020-06-09,PR,Nova América da Colina,city,1,0,True,3445,4116604,29.02758,0.0
2020-06-09,PR,Nova Aurora,city,2,0,True,10472,4116703,19.09855,0.0
2020-06-09,PR,Nova Esperança,city,12,0,True,27904,4116901,43.00459,0.0
2020-06-09,PR,Nova Fátima,city,12,0,True,8153,4117008,147.18509,0.0
2020-06-09,PR,Nova Londrina,city,10,0,True,13213,4117107,75.68304,0.0
2020-06-09,PR,Nova Olímpia,city,2,0,True,5806,4117206,34.44712,0.0
2020-06-09,PR,Ortigueira,city,3,0,True,22141,4117305,13.54952,0.0
2020-06-09,PR,Paiçandu,city,6,0,True,41281,4117503,14.53453,0.0
2020-06-09,PR,Palmas,city,10,0,True,50986,4117602,19.61323,0.0
2020-06-09,PR,Palmeira,city,4,0,True,33877,4117701,11.80742,0.0
2020-06-09,PR,Palotina,city,19,1,True,31846,4117909,59.66212,0.0526
2020-06-09,PR,Paraíso do Norte,city,14,1,True,13830,4118006,101.22921,0.0714
2020-06-09,PR,Paranacity,city,6,0,True,11472,4118105,52.30126,0.0
2020-06-09,PR,Paranaguá,city,82,4,True,154936,4118204,52.92508,0.0488
2020-06-09,PR,Paranapoema,city,2,0,True,3203,4118303,62.44146,0.0
2020-06-09,PR,Paranavaí,city,119,6,True,88374,4118402,134.65499,0.0504
2020-06-09,PR,Pato Bragado,city,1,0,True,5610,4118451,17.82531,0.0
2020-06-09,PR,Pato Branco,city,39,1,True,82881,4118501,47.05542,0.0256
2020-06-09,PR,Paula Freitas,city,3,0,True,5873,4118600,51.08122,0.0
2020-06-09,PR,Peabiru,city,3,0,True,13996,4118808,21.4347,0.0
2020-06-09,PR,Piên,city,1,0,True,12746,4119103,7.8456,0.0
2020-06-09,PR,Pinhais,city,134,4,True,132157,4119152,101.39455,0.0299
2020-06-09,PR,Pinhal de São Bento,city,1,0,True,2731,4119251,36.61662,0.0
2020-06-09,PR,Pinhão,city,6,0,True,32391,4119301,18.52366,0.0
2020-06-09,PR,Piraí do Sul,city,2,0,True,25463,4119400,7.85453,0.0
2020-06-09,PR,Piraquara,city,93,6,True,113036,4119509,82.27467,0.0645
2020-06-09,PR,Pitanga,city,10,0,True,30310,4119608,32.99241,0.0
2020-06-09,PR,Planaltina do Paraná,city,9,0,True,4263,4119707,211.11893,0.0
2020-06-09,PR,Planalto,city,3,0,True,13479,4119806,22.25684,0.0
2020-06-09,PR,Ponta Grossa,city,103,0,True,351736,4119905,29.28333,0.0
2020-06-09,PR,Pontal do Paraná,city,12,0,True,27284,4119954,43.98182,0.0
2020-06-09,PR,Porecatu,city,1,0,True,12914,4120002,7.74353,0.0
2020-06-09,PR,Porto Barreiro,city,1,0,True,3237,4120150,30.8928,0.0
2020-06-09,PR,Prado Ferreira,city,4,0,True,3753,4120333,106.5814,0.0
2020-06-09,PR,Presidente Castelo Branco,city,1,0,True,5306,4120408,18.84659,0.0
2020-06-09,PR,Primeiro de Maio,city,2,1,True,11123,4120507,17.98076,0.5
2020-06-09,PR,Quarto Centenário,city,1,0,True,4512,4120655,22.16312,0.0
2020-06-09,PR,Quatiguá,city,6,1,True,7449,4120705,80.54772,0.1667
2020-06-09,PR,Quatro Barras,city,41,1,True,23559,4120804,174.03116,0.0244
2020-06-09,PR,Quatro Pontes,city,1,0,True,4015,4120853,24.9066,0.0
2020-06-09,PR,Quedas do Iguaçu,city,17,0,True,34103,4120903,49.84899,0.0
2020-06-09,PR,Querência do Norte,city,8,0,True,12206,4121000,65.54154,0.0
2020-06-09,PR,Quitandinha,city,28,1,True,19049,4121208,146.98934,0.0357
2020-06-09,PR,Ramilândia,city,2,0,True,4451,4121257,44.93372,0.0
2020-06-09,PR,Rancho Alegre,city,5,1,True,3808,4121307,131.30252,0.2
2020-06-09,PR,Rancho Alegre D'Oeste,city,1,0,True,2655,4121356,37.66478,0.0
2020-06-09,PR,Realeza,city,5,0,True,16922,4121406,29.54733,0.0
2020-06-09,PR,Rebouças,city,3,0,True,14899,4121505,20.13558,0.0
2020-06-09,PR,Reserva,city,12,0,True,26715,4121703,44.91859,0.0
2020-06-09,PR,Reserva do Iguaçu,city,9,0,True,8010,4121752,112.35955,0.0
2020-06-09,PR,Ribeirão do Pinhal,city,26,1,True,13029,4121901,199.55484,0.0385
2020-06-09,PR,Rio Azul,city,1,0,True,15236,4122008,6.5634,0.0
2020-06-09,PR,Rio Bonito do Iguaçu,city,2,0,True,13269,4122156,15.07273,0.0
2020-06-09,PR,Rio Branco do Sul,city,7,0,True,32397,4122206,21.60694,0.0
2020-06-09,PR,Rio Negro,city,12,1,True,34170,4122305,35.11853,0.0833
2020-06-09,PR,Rolândia,city,24,2,True,66580,4122404,36.04686,0.0833
2020-06-09,PR,Rondon,city,20,0,True,9579,4122602,208.79006,0.0
